branch_code,name,city,street,building_number,orientation_number,longitude,latitude
volenice-volenice-50,Z-BOX,Volenice,Volenice,50,,13.74748,49.25238
kajov-kajovska-22-1,Z-BOX,Kájov,Kájovská,22,,14.25908,48.81325
z-box-lhenice-skolni-parkoviste,Z-BOX,Lhenice,Školní,,,14.14976,48.99406
z-box-strunkovice-nad-blanici-protivecka-295-agro,Z-BOX,Strunkovice nad Blanicí,Protivecká,295,,14.06506,49.08054
z-box-lhenice-sidliste-snp-372,Z-BOX,Lhenice,Sídliště SNP,372,,14.15394,48.99812
z-box-vetrni-papirenska-2,Z-BOX,Větřní,Papírenská,2,,14.29765,48.77981
z-box-cesky-krumlov-sidliste-plesivec-254,Z-BOX,Český Krumlov,Sídliště Plešivec,254,,14.31084,48.80192
cesky-krumlov-na-svahu-277,Z-BOX,Český Krumlov,Na Svahu,277,,14.31585,48.81945
horazdovice-komenskeho-1167,Z-BOX,Horažďovice,Komenského,1167,,13.68529,49.32492
z-box-planice-klatovska-cerpaci-stanice,Z-BOX,Plánice,Klatovská,,,13.46463,49.39317
z-box-pridoli-pridoli-119,Z-BOX,Přídolí,Přídolí,119,,14.35085,48.7822
z-box-cesky-krumlov-urbinska-237-city-market,Z-BOX,Český Krumlov,Urbinská,237,,14.33222,48.82435
z-box-cesky-krumlov-domoradice-299,Z-BOX,Český Krumlov,Domoradice,299,,14.33483,48.82333
z-box-cesky-krumlov-tovarni-164-terno,Z-BOX,Český Krumlov,Tovární,164,,14.33353,48.82654
z-box-bavorov-dr-marese-370,Z-BOX,Bavorov,Dr. Mareše,370,,14.07825,49.12301
z-box-katovice-husovo-nam-16,Z-BOX,Katovice,Husovo náměstí,16,,13.82917,49.27371
z-box-radosovice-radosovice-151,Z-BOX,Radošovice,Radošovice,151,,13.90275,49.23941
z-box-kremze-krumlovska-110,Z-BOX,Křemže,Krumlovská,110,,14.30985,48.90493
z-box-holubov-holubov-242,Z-BOX,Holubov,Holubov,242,,14.32386,48.8925
z-box-netolice-obecni-75,Z-BOX,Netolice,Obecní,75,,14.1966,49.05014
strakonice-volynska-192,Z-BOX,Strakonice,Volyňská,192,,13.91162,49.25149
z-box-strakonice-povazska-266,Z-BOX,Strakonice,Povážská,266,,13.91625,49.24932
z-box-bujanov-bujanov-26,Z-BOX,Bujanov,Bujanov,26,,14.42916,48.70162
z-box-strakonice-bezdekovska-30,Z-BOX,Strakonice,Bezděkovská,30,,13.90521,49.25756
z-box-strakonice-palackeho-nam-80,Z-BOX,Strakonice,Palackého náměstí,80,,13.90352,49.25896
z-box-strakonice-mirova-43,Z-BOX,Strakonice,Mírová,43,,13.89549,49.26393
z-box-strakonice-dukelska-37,Z-BOX,Strakonice,Dukelská,37,,13.91208,49.25782
z-box-dolni-dvoriste-dolni-dvoriste-171,Z-BOX,Dolní Dvořiště,Dolní Dvořiště,171,,14.45296,48.65595
z-box-strakonice-zvolenska-989,Z-BOX,Strakonice,Zvolenská,989,,13.89725,49.26777
strakonice-textilaku-1338,Z-BOX,Strakonice,Textiláků,1338,,13.91537,49.25935
z-box-strakonice-lidicka-169,Z-BOX,Strakonice,Lidická,169,,13.90777,49.2637
strakonice-radomyslska-336,Z-BOX,Strakonice,Radomyšlská,336,,13.90625,49.26457
z-box-strakonice-pisecka-904-mounfield,Z-BOX,Strakonice,Písecká,904,,13.91767,49.26916
z-box-cehnice-cehnice-105,Z-BOX,Cehnice,Cehnice,105,,14.02517,49.21465
dolni-trebonin-dolni-trebonin-6,Z-BOX,Dolní Třebonín,Dolní Třebonín,6,,14.41108,48.85429
z-box-vrabce-na-navsi-33,Z-BOX,Vrábče,Na Návsi,33,,14.37571,48.91766
z-box-malovice-malovice-5,Z-BOX,Malovice,Malovice,5,,14.22448,49.09155
z-box-kaplice-na-vyhlidce-645-lidl,Z-BOX,Kaplice,Na Vyhlídce,645,,14.4866,48.74096
z-box-kaplice-ceskobudejovicka-314-engel,Z-BOX,Kaplice,Českobudějovická,314,,14.48597,48.75231
z-box-zabovresky-zabovresky-43,Z-BOX,Žabovřesky,Žabovřesky,43,,14.33445,49.00078
z-box-dubne-dubne-35,Z-BOX,Dubné,Dubné,35,,14.35747,48.9741
z-box-kaplice-ceskobudejovicka-335,Z-BOX,Kaplice,Českobudějovická,335,,14.49113,48.74048
z-box-dubne-dubne-90,Z-BOX,Dubné,Dubné,90,,14.35918,48.97627
z-box-homole-nove-homole-u-hriste,Z-BOX,Homole,Nové Homole,,,14.4052,48.93558
z-box-kamenny-ujezd-u-ceskych-budejovic-kamenny-ujezd-499-cerpaci-stanice-pletka,Z-BOX,Kamenný Újezd u Českých Budějovic,Kamenný Újezd,499,,14.44031,48.89812
vodnany-dr-hajneho-1285-1,Z-BOX,Vodňany,Dr. Hajného,1285,,14.18141,49.14783
z-box-borsov-nad-vltavou-obecni-52,Z-BOX,Boršov nad Vltavou,Obecní,52,,14.43297,48.92227
z-box-svaty-jan-nad-malsi-svaty-jan-nad-malsi-106,Z-BOX,Svatý Ján nad Malší,Svatý Ján nad Malší,106,,14.5094,48.82499
z-box-pistin-pistin-46,Z-BOX,Pištín,Pištín,46,,14.33413,49.04576
z-box-pistin-cesnovice-38,Z-BOX,Pištín,Češnovice,38,,14.36245,49.03242
