name,city,postal_code,street,building_number,orientation_number,ruian_code
Zvíkovec,Zvíkovec,33813,,17,0,7179081.0
Osek u Rokycan,Osek,33821,,18,0,13001451.0
Volduchy,Volduchy,33822,,92,0,13010972.0
Břasy 1,Břasy,33824,,18,0,7082436.0
Újezd u Svatého Kříže,Újezd u Svatého Kříže,33826,,27,0,13005227.0
Hlohovice,Hlohovice,33827,,45,0,7099207.0
Radnice u Rokycan,Radnice,33828,Plzeňská,49,0,7149158.0
Klabava,Klabava,33841,,17,0,7118520.0
Hrádek u Rokycan,Hrádek,33842,1. máje,174,0,7107129.0
Mirošov 1,Mirošov,33843,Skořická,83,0,24335487.0
Dobřív,Dobřív,33844,,305,0,7095066.0
Strašice,Strašice,33845,,566,0,7162472.0
Mirošov 2,Mirošov,33847,Skořická,314,0,24337790.0
Klatovy 1,Klatovy,33901,Nádražní,89,0,21488983.0
Běšiny,Běšiny,34001,,150,0,6905838.0
Železná Ruda,Železná Ruda,34004,1. máje,124,0,12054615.0
Švihov,Švihov,34012,náměstí Dr. E. Beneše,38,0,21452717.0
Chudenice,Chudenice,34014,Mírové náměstí,246,0,6936300.0
Poleň,Poleň,34015,,47,0,2848473.0
Dolany u Klatov,Dolany,34016,,188,0,73828424.0
Janovice nad Úhlavou,Janovice nad Úhlavou,34021,Sídliště,297,0,21415382.0
Nýrsko,Nýrsko,34022,Rybářská,129,0,30843766.0
Dešenice,Dešenice,34023,,153,0,2841410.0
Strážov na Šumavě,Strážov,34024,,1,0,21445907.0
Mochtín,Mochtín,34032,,16,0,6959482.0
Číhaň,Číhaň,34033,,26,0,2876451.0
Plánice,Plánice,34034,Náměstí,167,0,6980899.0
Měčín,Měčín,34037,Farní,43,0,6954278.0
Předslav,Předslav,34038,,124,0,81110120.0
Dlažov,Dlažov,34042,,17,0,21404372.0
Horažďovice,Horažďovice,34101,Mírové náměstí,3,0,2883546.0
Hrádek,Hrádek,34141,,85,0,6927980.0
Kolinec,Kolinec,34142,,55,0,2852918.0
Velký Bor,Velký Bor,34151,,103,0,2875187.0
Chanovice,Chanovice,34152,,36,0,6931570.0
Pačejov,Pačejov,34153,,199,0,6977090.0
Myslív,Myslív,34154,,30,0,75894203.0
Rabí,Rabí,34161,,15,0,2878445.0
Žichovice,Žichovice,34162,,190,0,7001380.0
Žihobce,Žihobce,34163,,73,0,2845814.0
Nezdice na Šumavě,Nezdice na Šumavě,34164,,173,0,21432481.0
Strašín u Sušice,Strašín,34165,,16,0,21442622.0
Soběšice u Sušice,Soběšice,34166,,125,0,2867559.0
Hradešice,Hradešice,34172,,81,0,2839059.0
Nalžovské Hory,Nalžovské Hory,34173,,96,0,21508143.0
Zavlekov,Zavlekov,34174,,56,0,21472769.0
Hartmanice,Hartmanice,34181,,128,0,21408262.0
Petrovice u Sušice,Petrovice u Sušice,34182,,5,0,21437360.0
Velhartice,Velhartice,34183,,63,0,2862603.0
Dlouhá Ves u Sušice,Dlouhá Ves,34191,,155,0,6921311.0
Kašperské Hory,Kašperské Hory,34192,Dlouhá,94,0,6941541.0
